Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
Northern NC,35.885,-75.681,-1.58,0.12,0.12,1088,57,57,0,1,17,1
Northern NC,35.885,-75.681,-1.58,0.12,0.12,1105,59,59,0,1,17,1
Northern NC,35.885,-75.681,-1.62,0.12,0.12,1129,59,59,0,1,17,1
Northern NC,35.885,-75.681,-1.62,0.1,0.1,1146,60,60,0,1,17,1
Northern NC,35.885,-75.681,-1.66,0.1,0.1,1170,58,58,0,1,17,1
Northern NC,35.885,-75.681,-1.72,0.12,0.12,1221,56,56,0,1,17,1
Northern NC,35.885,-75.681,-1.73,0.12,0.12,1233,58,58,0,1,17,1
Northern NC,35.885,-75.681,-1.7,0.08,0.08,1243,60,60,0,1,17,1
Northern NC,35.885,-75.681,-1.71,0.08,0.08,1254,61,61,0,1,17,1
Northern NC,35.885,-75.681,-1.76,0.08,0.08,1276,62,62,0,1,17,1
Northern NC,35.885,-75.681,-1.85,0.08,0.08,1297,61,61,0,1,17,1
Northern NC,35.885,-75.681,-1.89,0.1,0.1,1330,56,56,0,1,17,1
Northern NC,35.885,-75.681,-1.87,0.1,0.1,1339,54,54,0,1,17,1
Northern NC,35.885,-75.681,-1.91,0.12,0.12,1378,46,46,0,1,17,1
Northern NC,35.885,-75.681,-1.86,0.12,0.12,1412,50,50,0,1,17,1
Northern NC,35.885,-75.681,-1.96,0.08,0.08,1438,52,52,0,1,17,1
Northern NC,35.885,-75.681,-1.94,0.1,0.1,1455,52,52,0,1,17,1
Northern NC,35.885,-75.681,-1.98,0.12,0.12,1479,48,48,0,1,17,1
Northern NC,35.885,-75.681,-2.05,0.14,0.14,1500,48,48,0,1,17,1
Northern NC,35.885,-75.681,-2.02,0.1,0.1,1543,56,56,0,1,17,1
Northern NC,35.885,-75.681,-2.14,0.1,0.1,1575,59,59,0,1,17,1
Northern NC,35.885,-75.681,-2.06,0.1,0.1,1596,59,59,0,1,17,1
Northern NC,35.885,-75.681,-2.16,0.1,0.1,1632,58,58,0,1,17,1
Northern NC,35.885,-75.681,-2.19,0.1,0.1,1660,62,62,0,1,17,1
Northern NC,35.885,-75.681,-2.22,0.12,0.12,1713,68,68,0,1,17,1
Northern NC,35.885,-75.681,-2.28,0.1,0.1,1786,69,69,0,1,17,1
Northern NC,35.885,-75.681,-2.28,0.12,0.12,1818,65,65,0,1,17,1
Northern NC,35.885,-75.681,-2.41,0.12,0.12,1856,60,60,0,1,17,1
Northern NC,35.885,-75.681,-2.42,0.12,0.12,1893,63,63,0,1,17,1
Northern NC,35.885,-75.681,-2.42,0.18,0.18,1913,65,65,0,1,17,1
Northern NC,35.885,-75.681,-2.42,0.14,0.14,1933,67,67,0,1,17,1
Northern NC,35.885,-75.681,-2.42,0.1,0.1,1953,69,69,0,1,17,1
Northern NC,35.885,-75.681,-2.5,0.12,0.12,1983,69,69,0,1,17,1
Northern NC,35.885,-75.681,-2.51,0.16,0.16,2034,63,63,0,1,17,1
Northern NC,35.885,-75.681,-2.55,0.16,0.16,2070,59,59,0,1,17,1
Northern NC,35.885,-75.681,0,0.02,0.02,-67,0.5,0.5,0,1,17,1
