Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
11.87,0.34,3.87,0.38,WD,"Bereiter et al, 2018",0.44,-0.280472116,-0.040672943,0.220565566,0.250518841
11.93,-0.22,3.31,0.40,EDC,"Baggenstos et al, 2019",0.45,-0.279327042,-0.04149838,0.221861973,0.250594507
11.99,-0.33,3.20,0.24,TG,"Shackleton et al, 2019",0.46,-0.27841339,-0.04232645,0.220915047,0.249664219
12.09,0.25,3.78,0.26,WD,"Bereiter et al, 2018",0.47,-0.275622876,-0.043156914,0.21727998,0.246451428
12.17,-0.61,2.92,0.24,TG,"Shackleton et al, 2019",0.48,-0.275901292,-0.043989536,0.216703182,0.246302237
12.31,-0.40,3.13,0.24,WD,"Bereiter et al, 2018",0.49,-0.277319073,-0.044824076,0.212945085,0.245132079
12.35,-0.78,2.75,0.24,TG,"Shackleton et al, 2019",0.5,-0.278238624,-0.045660299,0.213227616,0.24573312
12.52,-0.99,2.54,0.26,TG,"Shackleton et al, 2019",0.51,-0.278711736,-0.046497966,0.209444033,0.244077884
12.53,-0.65,2.88,0.19,WD,"Bereiter et al, 2018",0.52,-0.278515941,-0.047336839,0.204458427,0.241487184
12.69,-1.07,2.46,0.24,TG,"Shackleton et al, 2019",0.53,-0.277791753,-0.048176682,0.200023707,0.23890773
12.75,-1.53,2.00,0.27,WD,"Bereiter et al, 2018",0.54,-0.280032826,-0.049017256,0.200784711,0.240408768
12.86,-1.30,2.23,0.23,TG,"Shackleton et al, 2019",0.55,-0.280638386,-0.049858323,0.198972283,0.239805335
12.95,-0.79,2.74,0.40,EDC,"Baggenstos et al, 2019",0.56,-0.280313908,-0.050699646,0.196272561,0.238293235
12.96,-0.74,2.79,0.27,WD,"Bereiter et al, 2018",0.57,-0.279555794,-0.051540988,0.192357405,0.2359566
13.03,-1.06,2.47,0.25,TG,"Shackleton et al, 2019",0.58,-0.27743331,-0.052382111,0.189708904,0.233571107
13.17,-1.08,2.45,0.24,WD,"Bereiter et al, 2018",0.59,-0.27687311,-0.053222777,0.188026074,0.232449592
13.20,-1.28,2.25,0.23,TG,"Shackleton et al, 2019",0.6,-0.277505423,-0.054062748,0.186521748,0.232013585
13.37,-1.08,2.45,0.25,TG,"Shackleton et al, 2019",0.61,-0.278089319,-0.054901787,0.180932636,0.229510978
13.39,-1.04,2.49,0.24,WD,"Bereiter et al, 2018",0.62,-0.279486821,-0.055739657,0.179432994,0.229459907
13.61,-0.96,2.57,0.32,WD,"Bereiter et al, 2018",0.63,-0.279984214,-0.056576119,0.178386534,0.229185374
13.84,-0.68,2.86,0.22,WD,"Bereiter et al, 2018",0.64,-0.28284725,-0.057410936,0.176219453,0.229533351
13.84,-1.05,2.48,0.40,EDC,"Baggenstos et al, 2019",0.65,-0.285207126,-0.058243871,0.173049692,0.229128409
13.96,-0.76,2.77,0.26,WD,"Bereiter et al, 2018",0.66,-0.289632128,-0.059074685,0.171220873,0.2304265
14.08,-1.15,2.38,0.23,WD,"Bereiter et al, 2018",0.67,-0.290213884,-0.059903141,0.169584753,0.229899319
14.19,-0.83,2.70,0.25,WD,"Bereiter et al, 2018",0.68,-0.290693018,-0.060729002,0.168797171,0.229745095
14.31,-0.87,2.66,0.33,WD,"Bereiter et al, 2018",0.69,-0.29114627,-0.06155203,0.167670793,0.229408531
14.41,-0.76,2.77,0.26,WD,"Bereiter et al, 2018",0.7,-0.291098228,-0.062371987,0.166522287,0.228810258
14.52,-0.73,2.80,0.22,WD,"Bereiter et al, 2018",0.71,-0.291062907,-0.063188636,0.165020736,0.228041822
14.63,-0.43,3.10,0.25,WD,"Bereiter et al, 2018",0.72,-0.293273961,-0.064001738,0.163018647,0.228146304
14.75,-0.69,2.84,0.34,WD,"Bereiter et al, 2018",0.73,-0.292814311,-0.064811057,0.16147684,0.227145576
14.87,-0.68,2.85,0.40,EDC,"Baggenstos et al, 2019",0.74,-0.290638224,-0.065616354,0.160707736,0.22567298
14.87,-0.95,2.58,0.31,WD,"Bereiter et al, 2018",0.75,-0.294174268,-0.066417393,0.16193415,0.228054209
15.00,-0.79,2.74,0.29,WD,"Bereiter et al, 2018",0.76,-0.295377304,-0.067213935,0.162332385,0.228854845
15.12,-0.67,2.86,0.34,WD,"Bereiter et al, 2018",0.77,-0.294279702,-0.068005761,0.162242311,0.228261006
15.24,-1.12,2.41,0.26,WD,"Bereiter et al, 2018",0.78,-0.292674125,-0.068792756,0.159200709,0.225937417
15.37,-1.16,2.37,0.23,WD,"Bereiter et al, 2018",0.79,-0.290895706,-0.069574858,0.157927165,0.224411436
15.51,-1.38,2.15,0.25,WD,"Bereiter et al, 2018",0.8,-0.293030612,-0.070352142,0.155264002,0.224147307
15.65,-1.22,2.31,0.27,WD,"Bereiter et al, 2018",0.81,-0.29354336,-0.071124773,0.154123507,0.223833433
15.81,-1.41,2.12,0.35,WD,"Bereiter et al, 2018",0.82,-0.294922345,-0.071892917,0.152601093,0.223761719
15.97,-1.80,1.73,0.36,WD,"Bereiter et al, 2018",0.83,-0.297151703,-0.07265674,0.154059172,0.225605437
16.01,-1.77,1.76,0.40,EDC,"Baggenstos et al, 2019",0.84,-0.299483553,-0.07341641,0.152568564,0.226026058
16.17,-1.73,1.80,0.22,WD,"Bereiter et al, 2018",0.85,-0.301318283,-0.074172091,0.153645847,0.227482065
16.34,-1.70,1.83,0.28,WD,"Bereiter et al, 2018",0.86,-0.301631192,-0.074923952,0.153105085,0.227368138
16.54,-1.68,1.85,0.42,WD,"Bereiter et al, 2018",0.87,-0.301840776,-0.075672157,0.15359073,0.227715753
16.75,-1.67,1.86,0.33,WD,"Bereiter et al, 2018",0.88,-0.304198009,-0.076416875,0.152872176,0.228535093
16.99,-2.42,1.11,0.31,WD,"Bereiter et al, 2018",0.89,-0.306773548,-0.07715827,0.152463526,0.229618537
17.02,-1.79,1.74,0.40,EDC,"Baggenstos et al, 2019",0.9,-0.308074211,-0.077896509,0.154015361,0.231044786
17.23,-2.41,1.12,0.34,WD,"Bereiter et al, 2018",0.91,-0.307829591,-0.078631759,0.155347202,0.231588396
17.49,-2.62,0.91,0.42,WD,"Bereiter et al, 2018",0.92,-0.309421351,-0.079364186,0.154458933,0.231940142
17.76,-1.98,1.55,0.44,WD,"Bereiter et al, 2018",0.93,-0.309607265,-0.080093956,0.152868821,0.231238043
18.03,-2.39,1.14,0.40,EDC,"Baggenstos et al, 2019",0.94,-0.309644429,-0.080821236,0.156068043,0.232856236
18.06,-2.65,0.88,0.31,WD,"Bereiter et al, 2018",0.95,-0.31176233,-0.081546192,0.157656123,0.234709227
18.38,-2.77,0.76,0.33,WD,"Bereiter et al, 2018",0.96,-0.314112983,-0.082268991,0.156662282,0.235387633
18.70,-2.49,1.04,0.33,WD,"Bereiter et al, 2018",0.97,-0.313982477,-0.082989799,0.155453133,0.234717805
19.00,-2.53,1.00,0.40,EDC,"Baggenstos et al, 2019",0.98,-0.315856883,-0.083708782,0.157143144,0.236500014
19.02,-2.77,0.76,0.32,WD,"Bereiter et al, 2018",0.99,-0.31765633,-0.084426107,0.157256989,0.23745666
19.39,-2.73,0.80,0.39,WD,"Bereiter et al, 2018",1,-0.320004693,-0.085141934,0.156847123,0.238425908
19.66,-1.95,1.58,0.32,WD,"Bereiter et al, 2018",1.01,-0.319898773,-0.085856344,0.158293831,0.239096302
19.9,-2.70,0.83,0.30,TG,"Shackleton et al, 2020",1.02,-0.321718879,-0.086569354,0.158337779,0.240028329
19.9,-2.53,1.00,0.30,TG,"Shackleton et al, 2020",1.03,-0.321657254,-0.087280979,0.157424726,0.23954099
19.9,-2.49,1.04,0.30,TG,"Shackleton et al, 2020",1.04,-0.322311205,-0.087991236,0.155492103,0.238901654
19.9,-2.99,0.54,0.30,TG,"Shackleton et al, 2020",1.05,-0.323776664,-0.08870014,0.153988888,0.238882776
19.9,-2.68,0.85,0.30,TG,"Shackleton et al, 2020",1.06,-0.326213898,-0.089407706,0.152731652,0.239472775
19.94,-2.91,0.62,0.40,EDC,"Baggenstos et al, 2019",1.07,-0.327913584,-0.090113952,0.151132022,0.239522803
19.99,-2.82,0.71,0.30,WD,"Bereiter et al, 2018",1.08,-0.329842044,-0.090818891,0.150371583,0.240106814
20.32,-2.71,0.82,0.33,WD,"Bereiter et al, 2018",1.09,-0.329828076,-0.09152254,0.147884304,0.23885619
