Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,2.38,-0.383097209,-0.1652757,0.054256318,0.218676763
,,,,,,2.39,-0.383035657,-0.16507839,0.05118076,0.217108209
,,,,,,2.4,-0.381776468,-0.164847472,0.048893156,0.215334812
,,,,,,2.41,-0.380909217,-0.164582711,0.049760469,0.215334843
,,,,,,2.42,-0.382830655,-0.164283868,0.04746345,0.215147052
,,,,,,2.43,-0.382611893,-0.163950709,0.046046087,0.21432899
,,,,,,2.44,-0.379058194,-0.163582995,0.043778872,0.211418533
,,,,,,2.45,-0.378945319,-0.163180491,0.0408236,0.209884459
,,,,,,2.46,-0.377068782,-0.16274296,0.0432377,0.210153241
,,,,,,2.47,-0.375460596,-0.162270165,0.044198477,0.209829536
,,,,,,2.48,-0.374351947,-0.16176187,0.044008592,0.209180269
,,,,,,2.49,-0.37236222,-0.161217838,0.045204137,0.208783178
,,,,,,2.5,-0.369119936,-0.160637833,0.043768024,0.20644398
,,,,,,2.51,-0.368517618,-0.160021619,0.042299455,0.205408536
,,,,,,2.52,-0.368418542,-0.159368957,0.040055559,0.204237051
,,,,,,2.53,-0.366795875,-0.158679613,0.040611109,0.203703492
,,,,,,2.54,-0.365092206,-0.157953349,0.037717775,0.20140499
,,,,,,2.55,-0.365305555,-0.157189929,0.038263722,0.201784639
,,,,,,2.56,-0.364024133,-0.156389117,0.041338837,0.202681485
,,,,,,2.57,-0.364482122,-0.155550675,0.043956202,0.204219162
,,,,,,2.58,-0.361644432,-0.154674367,0.045618615,0.203631524
,,,,,,2.59,-0.361621863,-0.153759957,0.046402387,0.204012125
,,,,,,2.6,-0.362734269,-0.152807208,0.048638271,0.20568627
,,,,,,2.61,-0.361556459,-0.151815883,0.050122975,0.205839717
,,,,,,2.62,-0.360877151,-0.150785747,0.05128692,0.206082035
,,,,,,2.63,-0.359840022,-0.149716561,0.052776153,0.206308087
,,,,,,2.64,-0.359428194,-0.148608091,0.054134888,0.206781541
,,,,,,2.65,-0.359450081,-0.147460098,0.0554102,0.207430141
,,,,,,2.66,-0.357564701,-0.146272348,0.056012695,0.206788698
,,,,,,2.67,-0.357545535,-0.145044602,0.058657341,0.208101438
,,,,,,2.68,-0.357263565,-0.143776625,0.060764998,0.209014281
,,,,,,2.69,-0.356043538,-0.14246818,0.06251678,0.209280159
,,,,,,2.7,-0.355660656,-0.14111903,0.066013936,0.210837296
,,,,,,2.71,-0.355900332,-0.139728939,0.067405806,0.211653069
,,,,,,2.72,-0.355334749,-0.13829767,0.069007049,0.212170899
,,,,,,2.73,-0.354504995,-0.136825198,0.072450625,0.21347781
,,,,,,2.74,-0.353208634,-0.13531316,0.075559849,0.214384242
,,,,,,2.75,-0.351173955,-0.133763983,0.077771636,0.214472795
,,,,,,2.76,-0.350991926,-0.132180098,0.079540618,0.215266272
,,,,,,2.77,-0.349642145,-0.130563935,0.080436478,0.215039311
,,,,,,2.78,-0.349237351,-0.128917926,0.083204423,0.216220887
,,,,,,2.79,-0.349771109,-0.127244502,0.084359736,0.217065423
,,,,,,2.8,-0.350206337,-0.125546092,0.086990327,0.218598332
,,,,,,2.81,-0.349444966,-0.123825129,0.090123353,0.219784159
,,,,,,2.82,-0.348447135,-0.122084044,0.092520356,0.220483745
,,,,,,2.83,-0.350256859,-0.120325267,0.094723403,0.222490131
,,,,,,2.84,-0.349794088,-0.118551228,0.098245437,0.224019763
,,,,,,2.85,-0.34951903,-0.11676436,0.102837033,0.226178032
,,,,,,2.86,-0.349352343,-0.114967093,0.105170784,0.227261563
,,,,,,2.87,-0.346339586,-0.113161858,0.110366229,0.228352908
,,,,,,2.88,-0.345389866,-0.111351086,0.112326855,0.22885836
,,,,,,2.89,-0.345503884,-0.109537208,0.119067404,0.232285644
,,,,,,2.9,-0.344741412,-0.107722654,0.121047526,0.232894469
,,,,,,2.91,-0.34401056,-0.105909857,0.123193049,0.233601804
,,,,,,2.92,-0.343646338,-0.104101246,0.126034324,0.234840331
,,,,,,2.93,-0.345098778,-0.102299252,0.125972653,0.235535715
,,,,,,2.94,-0.341376192,-0.100506307,0.129230934,0.235303563
,,,,,,2.95,-0.335291609,-0.0987244,0.13278079,0.234036199
,,,,,,2.96,-0.335198077,-0.096954208,0.136222308,0.235710193
,,,,,,2.97,-0.333319322,-0.095196168,0.137896099,0.23560771
,,,,,,2.98,-0.333189006,-0.093450716,0.141623397,0.237406202
,,,,,,2.99,-0.331606873,-0.091718287,0.14611967,0.238863271
,,,,,,3,-0.329927673,-0.089999317,0.14975178,0.239839727
,,,,,,3.01,-0.330371788,-0.088294243,0.154477181,0.242424484
,,,,,,3.02,-0.330930731,-0.0866035,0.1546508,0.242790765
,,,,,,3.03,-0.329164598,-0.084927524,0.157555483,0.243360041
,,,,,,3.04,-0.328236463,-0.08326675,0.159244082,0.243740273
,,,,,,3.05,-0.326620178,-0.081621616,0.16344471,0.245032444
,,,,,,3.06,-0.326274754,-0.079992555,0.164844007,0.245559381
,,,,,,3.07,-0.323452733,-0.078380006,0.164006401,0.243729567
,,,,,,3.08,-0.321003257,-0.076784402,0.165912332,0.243457795
,,,,,,3.09,-0.32058747,-0.075206181,0.166787548,0.243687509
,,,,,,3.1,-0.319759992,-0.073645778,0.167173459,0.243466726
,,,,,,3.11,-0.319523821,-0.072103628,0.168921787,0.244222804
,,,,,,3.12,-0.317186931,-0.070580169,0.172516317,0.244851624
,,,,,,3.13,-0.316235844,-0.069075835,0.173998504,0.245117174
,,,,,,3.14,-0.313680818,-0.067591062,0.177330429,0.245505623
,,,,,,3.15,-0.312143926,-0.066126287,0.181530025,0.246836976
,,,,,,3.16,-0.310050038,-0.064681945,0.182259551,0.246154794
,,,,,,3.17,-0.307238058,-0.063258473,0.183657754,0.245447906
,,,,,,3.18,-0.307571216,-0.061856305,0.185963882,0.246767549
,,,,,,3.19,-0.30586499,-0.060475878,0.188301054,0.247083022
,,,,,,3.2,-0.302375344,-0.059117628,0.191022531,0.246698937
,,,,,,3.21,-0.300318069,-0.05778199,0.194001414,0.247159742
,,,,,,3.22,-0.299201162,-0.056469401,0.198423136,0.248812149
,,,,,,3.23,-0.298878267,-0.055180296,0.201028064,0.249953165
,,,,,,3.24,-0.298237811,-0.053915111,0.202795722,0.250516767
,,,,,,3.25,-0.296216958,-0.052674283,0.205143076,0.250680017
,,,,,,3.26,-0.294094253,-0.051458207,0.20602035,0.250057301
,,,,,,3.27,-0.290209895,-0.050266641,0.206944099,0.248576997
,,,,,,3.28,-0.288807506,-0.049098824,0.20601862,0.247413063
,,,,,,3.29,-0.287825208,-0.047953981,0.206174211,0.24699971
,,,,,,3.3,-0.286915007,-0.046831337,0.207633071,0.247274039
,,,,,,3.31,-0.288415573,-0.045730114,0.210842169,0.249628871
,,,,,,3.32,-0.286757917,-0.044649539,0.211580363,0.24916914
,,,,,,3.33,-0.286107958,-0.043588834,0.21088486,0.248496409
,,,,,,3.34,-0.284347583,-0.042547225,0.213563772,0.248955678
,,,,,,3.35,-0.283231368,-0.041523935,0.215842144,0.249536756
,,,,,,3.36,-0.28298765,-0.040518189,0.217465214,0.250226432
,,,,,,3.37,-0.280106798,-0.039529212,0.218688901,0.249397849
,,,,,,3.38,-0.278637208,-0.038556227,0.219051857,0.248844533
,,,,,,3.39,-0.278132617,-0.03759846,0.215653074,0.246892845
,,,,,,3.4,-0.277332432,-0.036655133,0.216058202,0.246695317
,,,,,,3.41,-0.275924289,-0.035725472,0.216154969,0.246039629
,,,,,,3.42,-0.275175082,-0.034808701,0.217783295,0.246479188
,,,,,,3.43,-0.275536949,-0.033904044,0.216834276,0.246185612
,,,,,,3.44,-0.273779259,-0.033010726,0.217675016,0.245727138
,,,,,,3.45,-0.27274137,-0.032127971,0.218811977,0.245776674
,,,,,,3.46,-0.270216973,-0.031255002,0.219154622,0.244685797
,,,,,,3.47,-0.270612311,-0.030391046,0.218008436,0.244310373
,,,,,,3.48,-0.270417774,-0.029535325,0.219441057,0.244929416
,,,,,,3.49,-0.26994596,-0.028687064,0.217741295,0.243843627
,,,,,,3.5,-0.27177656,-0.027845488,0.218264255,0.245020407
,,,,,,3.51,-0.273435389,-0.02700982,0.221096493,0.247265941
,,,,,,3.52,-0.273290167,-0.026179286,0.224614393,0.24895228
,,,,,,3.53,-0.272789795,-0.025353109,0.225260033,0.249024914
,,,,,,3.54,-0.271547757,-0.024530514,0.225558686,0.248553222
,,,,,,3.55,-0.270212558,-0.023710725,0.225822069,0.248017313
,,,,,,3.56,-0.269705655,-0.022892966,0.226100998,0.247903326
,,,,,,3.57,-0.266759515,-0.022076462,0.225021641,0.245890578
,,,,,,3.58,-0.264110394,-0.021260437,0.225027221,0.244568807
,,,,,,3.59,-0.264903691,-0.020444115,0.225632717,0.245268204
,,,,,,3.6,-0.264134232,-0.019626721,0.22839344,0.246263836
,,,,,,3.61,-0.264657854,-0.018807479,0.229473639,0.247065746
,,,,,,3.62,-0.265494789,-0.017985614,0.229479323,0.247487056
,,,,,,3.63,-0.266133784,-0.017160349,0.230746412,0.248440098
,,,,,,3.64,-0.266194395,-0.016330909,0.231806781,0.249000588
,,,,,,3.65,-0.26467164,-0.015496518,0.235263566,0.249967603
,,,,,,3.66,-0.263578694,-0.014656401,0.236505555,0.250042124
,,,,,,3.67,-0.264764453,-0.013809781,0.239636579,0.252200516
,,,,,,3.68,-0.265596738,-0.012955884,0.240103461,0.2528501
,,,,,,3.69,-0.265973286,-0.012093934,0.243022113,0.2544977
,,,,,,3.7,-0.26571812,-0.011223154,0.244428281,0.255073201
,,,,,,3.71,-0.265106659,-0.01034277,0.249206487,0.257156573
,,,,,,3.72,-0.264191486,-0.009452005,0.25007017,0.257130828
,,,,,,3.73,-0.264990209,-0.008550084,0.252658061,0.258824135
,,,,,,3.74,-0.264830963,-0.007636231,0.254630181,0.259730572
,,,,,,3.75,-0.26480992,-0.006709671,0.256250375,0.260530147
,,,,,,3.76,-0.265982612,-0.005769627,0.25627008,0.261126346
,,,,,,3.77,-0.2668753,-0.004815325,0.254217508,0.260546404
,,,,,,3.78,-0.266733583,-0.003846222,0.258450584,0.262592083
,,,,,,3.79,-0.263019168,-0.002862868,0.260989257,0.262004213
,,,,,,3.8,-0.264287014,-0.001866126,0.262557198,0.263422106
,,,,,,3.81,-0.264723253,-0.000856863,0.261468223,0.263095738
,,,,,,3.82,-0.261824711,0.000164057,0.265005878,0.263415295
,,,,,,3.83,-0.259850184,0.00119577,0.267834689,0.263842436
,,,,,,3.84,-0.258422702,0.002237411,0.272174833,0.265298768
,,,,,,3.85,-0.258268554,0.003288114,0.275541547,0.26690505
,,,,,,3.86,-0.254824565,0.004347015,0.279662786,0.267243676
,,,,,,3.87,-0.253013726,0.005413249,0.281153187,0.267083457
,,,,,,3.88,-0.250697109,0.006485952,0.2854377,0.268067404
,,,,,,3.89,-0.251891019,0.007564257,0.286660481,0.26927575
,,,,,,3.9,-0.252125754,0.008647301,0.287785655,0.269955704
,,,,,,3.91,-0.253039439,0.009734219,0.290383696,0.271711567
,,,,,,3.92,-0.255822402,0.010824146,0.293051847,0.274437124
,,,,,,3.93,-0.25562022,0.011916217,0.295026254,0.275323237
,,,,,,3.94,-0.256302379,0.013009567,0.297331776,0.276817078
,,,,,,3.95,-0.256510034,0.014103331,0.297522227,0.277016131
,,,,,,3.96,-0.255025941,0.015196645,0.298272656,0.276649298
,,,,,,3.97,-0.254399702,0.016288644,0.300445219,0.277422461
,,,,,,3.98,-0.254958164,0.017378462,0.3030991,0.279028632
,,,,,,3.99,-0.255436815,0.018465235,0.305534106,0.28048546
,,,,,,4,-0.254011535,0.019548125,0.306868918,0.280440226
,,,,,,4.01,-0.253237061,0.020626688,0.308720195,0.280978628
,,,,,,4.02,-0.252489598,0.021700783,0.310315386,0.281402492
,,,,,,4.03,-0.252586871,0.02277028,0.314096007,0.283341439
,,,,,,4.04,-0.250868089,0.023835045,0.31686326,0.283865674
,,,,,,4.05,-0.249852756,0.024894948,0.315038713,0.282445735
,,,,,,4.06,-0.249384201,0.025949855,0.319103384,0.284243793
,,,,,,4.07,-0.249555684,0.026999635,0.320593452,0.285074568
,,,,,,4.08,-0.250944727,0.028044157,0.320691428,0.285818078
,,,,,,4.09,-0.249372132,0.029083286,0.325451752,0.287411942
,,,,,,4.1,-0.251120283,0.030116893,0.326865788,0.288993035
,,,,,,4.11,-0.253014451,0.031144845,0.328900455,0.290957453
,,,,,,4.12,-0.252950894,0.032167009,0.331545641,0.292248268
,,,,,,4.13,-0.251974964,0.033183254,0.334948187,0.293461575
,,,,,,4.14,-0.251322751,0.034193448,0.335368666,0.293345709
,,,,,,4.15,-0.250270662,0.035197458,0.33611771,0.293194186
,,,,,,4.16,-0.248050132,0.036195153,0.33676522,0.292407676
,,,,,,4.17,-0.245291574,0.037186401,0.339136237,0.292213905
,,,,,,4.18,-0.245722785,0.03817107,0.340138337,0.292930561
,,,,,,4.19,-0.246095675,0.039149027,0.341581764,0.29383872
,,,,,,4.2,-0.244621108,0.04012014,0.342957335,0.293789222
,,,,,,4.21,-0.243531769,0.041084279,0.34187625,0.292704009
,,,,,,4.22,-0.241438498,0.042041309,0.344469643,0.292954071
,,,,,,4.23,-0.2401857,0.042991101,0.349608167,0.294896934
,,,,,,4.24,-0.240564824,0.043933521,0.350450123,0.295507474
,,,,,,4.25,-0.2424864,0.044868437,0.34955309,0.296019745
,,,,,,4.26,-0.240188194,0.045795718,0.351431213,0.295809703
,,,,,,4.27,-0.240739457,0.046715231,0.349644995,0.295192226
,,,,,,4.28,-0.241847736,0.047626844,0.350078835,0.295963285
,,,,,,4.29,-0.242126857,0.048530427,0.350190366,0.296158611
,,,,,,4.3,-0.242462671,0.049425845,0.350324021,0.296393346
,,,,,,4.31,-0.245549945,0.050312968,0.353113147,0.299331546
,,,,,,4.32,-0.247514799,0.051191663,0.354922388,0.301218594
,,,,,,4.33,-0.249088231,0.052061798,0.353325642,0.301206937
,,,,,,4.34,-0.247822797,0.052923242,0.353277708,0.300550252
,,,,,,4.35,-0.246912392,0.053775862,0.356158347,0.30153537
,,,,,,4.36,-0.247418724,0.054619526,0.359482485,0.303450604
,,,,,,4.37,-0.248162838,0.055454103,0.364191272,0.306177055
,,,,,,4.38,-0.248585212,0.056279459,0.362621919,0.305603566
,,,,,,4.39,-0.248224326,0.057095464,0.365861311,0.307042818
,,,,,,4.4,-0.248617281,0.057901985,0.364232119,0.3064247
,,,,,,4.41,-0.249177565,0.05869889,0.364292853,0.306735209
,,,,,,4.42,-0.249638959,0.059486048,0.363237603,0.306438281
,,,,,,4.43,-0.25012752,0.060263325,0.366012684,0.308070102
,,,,,,4.44,-0.249715142,0.061030591,0.366904774,0.308309958
,,,,,,4.45,-0.248813137,0.061787712,0.366081169,0.307447153
,,,,,,4.46,-0.247379286,0.062534558,0.366878539,0.307128912
,,,,,,4.47,-0.246871698,0.063270995,0.368229776,0.307550737
,,,,,,4.48,-0.248977806,0.063996893,0.370710694,0.30984425
,,,,,,4.49,-0.249752996,0.064712118,0.373670823,0.311711909
,,,,,,4.5,-0.248611223,0.06541654,0.37529233,0.311951776
,,,,,,4.51,-0.24765161,0.066110025,0.380780416,0.314216013
,,,,,,4.52,-0.246965961,0.066792443,0.385198275,0.316082118
,,,,,,4.53,-0.247855731,0.06746366,0.385429404,0.316642567
,,,,,,4.54,-0.249060121,0.068123545,0.387615047,0.318337584
,,,,,,4.55,-0.250214743,0.068771966,0.389917754,0.320066248
,,,,,,4.56,-0.251545205,0.069408791,0.392998475,0.32227184
,,,,,,4.57,-0.252206289,0.070033887,0.395169699,0.323687994
,,,,,,4.58,-0.252145086,0.070647123,0.396712913,0.324429
,,,,,,4.59,-0.253328663,0.071248367,0.398539194,0.325933928
,,,,,,4.6,-0.253837744,0.071837487,0.398603052,0.326220398
,,,,,,4.61,-0.254165213,0.072414351,0.397126068,0.325645641
,,,,,,4.62,-0.25346572,0.072978826,0.397496223,0.325480972
,,,,,,4.63,-0.254773627,0.073530781,0.4016974,0.328235513
,,,,,,4.64,-0.255288047,0.074070083,0.402952655,0.329120351
,,,,,,4.65,-0.253741036,0.074596601,0.404995997,0.329368516
,,,,,,4.66,-0.252935687,0.075110203,0.404746935,0.328841311
,,,,,,4.67,-0.253034985,0.075610756,0.405419,0.329226993
,,,,,,4.68,-0.254476273,0.076098129,0.402856667,0.32866647
,,,,,,4.69,-0.255439952,0.07657219,0.403602197,0.329521075
,,,,,,4.7,-0.258156865,0.077032806,0.405420175,0.33178852
,,,,,,4.71,-0.260827905,0.077479845,0.406482892,0.333655398
,,,,,,4.72,-0.262172899,0.077913176,0.4080319,0.3351024
,,,,,,4.73,-0.263205797,0.078332666,0.409940319,0.336573058
,,,,,,4.74,-0.265295255,0.078738184,0.412884885,0.33909007
,,,,,,4.75,-0.267485483,0.079129597,0.415468228,0.341476856
,,,,,,4.76,-0.268136243,0.079506774,0.415189924,0.341663084
,,,,,,4.77,-0.267535195,0.079869582,0.416122874,0.341829034
,,,,,,4.78,-0.267334566,0.080217889,0.42087979,0.344107178
,,,,,,4.79,-0.266915854,0.080551564,0.421833264,0.344374559
,,,,,,4.8,-0.268210965,0.080870474,0.420282147,0.344246556
,,,,,,4.81,-0.27078051,0.081174487,0.422866841,0.346823676
,,,,,,4.82,-0.270087995,0.081463471,0.425496571,0.347792283
,,,,,,4.83,-0.271044478,0.081737295,0.424883833,0.347964156
,,,,,,4.84,-0.272012047,0.081995826,0.426365772,0.34918891
,,,,,,4.85,-0.272155122,0.082238932,0.428594092,0.350374607
,,,,,,4.86,-0.271211057,0.082466481,0.431163409,0.351187233
,,,,,,4.87,-0.271068922,0.082678342,0.43277754,0.351923231
,,,,,,4.88,-0.272833411,0.082874381,0.435068587,0.353950999
,,,,,,4.89,-0.275330783,0.083054468,0.435115949,0.355223366
,,,,,,4.9,-0.275956743,0.08321847,0.436632461,0.356294602
,,,,,,4.91,-0.27752951,0.083366255,0.435166616,0.356348063
,,,,,,4.92,-0.277374311,0.08349769,0.436178549,0.35677643
,,,,,,4.93,-0.280382517,0.083612645,0.437706999,0.359044758
,,,,,,4.94,-0.282022532,0.083710987,0.440100757,0.361061644
,,,,,,4.95,-0.281904684,0.083792584,0.442020817,0.361962751
,,,,,,4.96,-0.28212302,0.083857304,0.443760591,0.362941805
,,,,,,4.97,-0.283100718,0.083905015,0.445087541,0.364094129
,,,,,,4.98,-0.285017407,0.083935584,0.447547262,0.366282334
,,,,,,4.99,-0.283665498,0.083948881,0.447506746,0.365586122
,,,,,,5,-0.283011159,0.083944786,0.449242623,0.366126891
,,,,,,5.01,-0.281790712,0.083923325,0.451650398,0.366720555
,,,,,,5.02,-0.281008551,0.083884608,0.451340293,0.366174422
,,,,,,5.03,-0.281701605,0.083828745,0.452284114,0.36699286
,,,,,,5.04,-0.282733068,0.083755846,0.453790661,0.368261865
,,,,,,5.05,-0.283752919,0.083666023,0.457784059,0.370768489
,,,,,,5.06,-0.28529003,0.083559386,0.457646712,0.371468371
,,,,,,5.07,-0.286900497,0.083436047,0.45817791,0.372539204
,,,,,,5.08,-0.287855868,0.083296114,0.459346504,0.373601186
,,,,,,5.09,-0.28876725,0.0831397,0.461086219,0.374926735
,,,,,,5.1,-0.288504222,0.082966915,0.461960573,0.375232398
,,,,,,5.11,-0.286802199,0.08277787,0.4630122,0.3749072
,,,,,,5.12,-0.286389532,0.082572675,0.463204784,0.374797158
,,,,,,5.13,-0.28760551,0.082351441,0.464322403,0.375963956
,,,,,,5.14,-0.289460847,0.082114278,0.46555004,0.377505443
,,,,,,5.15,-0.291271311,0.081861299,0.466118023,0.378694667
,,,,,,5.16,-0.290816603,0.081592612,0.466819899,0.378818251
,,,,,,5.17,-0.293445288,0.081308329,0.468485735,0.380965511
,,,,,,5.18,-0.294215431,0.08100856,0.469211468,0.381713449
,,,,,,5.19,-0.297291585,0.080693417,0.470444393,0.383867989
,,,,,,5.2,-0.301381302,0.08036301,0.470065336,0.385723319
,,,,,,5.21,-0.303750138,0.080017449,0.469160548,0.386455343
,,,,,,5.22,-0.304988306,0.079656845,0.468873301,0.386930803
,,,,,,5.23,-0.306252463,0.079281309,0.469695353,0.387973908
,,,,,,5.24,-0.307590108,0.078890952,0.469590523,0.388590315
,,,,,,5.25,-0.308135423,0.078485884,0.471382279,0.389758851
,,,,,,5.26,-0.309573074,0.078066217,0.470445719,0.390009397
,,,,,,5.27,-0.311536005,0.07763206,0.471247192,0.391391599
,,,,,,5.28,-0.312876683,0.077183524,0.472209029,0.392542856
,,,,,,5.29,-0.312606859,0.07672072,0.47056974,0.391588299
,,,,,,5.3,-0.313507929,0.07624376,0.468734718,0.391121323
,,,,,,5.31,-0.313913332,0.075752752,0.468224361,0.391068847
,,,,,,5.32,-0.31434799,0.075247809,0.469091873,0.391719932
,,,,,,5.33,-0.316147096,0.074729041,0.470324611,0.393235854
,,,,,,5.34,-0.316817384,0.074196558,0.471119256,0.39396832
,,,,,,5.35,-0.316798075,0.073650471,0.470249709,0.393523892
,,,,,,5.36,-0.317016506,0.073090892,0.469150911,0.393083708
,,,,,,5.37,-0.317611393,0.07251793,0.468772908,0.39319215
,,,,,,5.38,-0.317977414,0.071931696,0.468065686,0.39302155
,,,,,,5.39,-0.319200925,0.071332301,0.467579952,0.393390438
,,,,,,5.4,-0.320940614,0.070719856,0.466756822,0.393848718
,,,,,,5.41,-0.32147506,0.070094471,0.466356472,0.393915766
,,,,,,5.42,-0.321634972,0.069456258,0.466243038,0.393939005
,,,,,,5.43,-0.322701767,0.068805326,0.466159667,0.394430717
,,,,,,5.44,-0.321972431,0.068141786,0.466263102,0.394117766
,,,,,,5.45,-0.323854839,0.06746575,0.465176244,0.394515541
,,,,,,5.46,-0.324104527,0.066777327,0.46450919,0.394306858
,,,,,,5.47,-0.326462022,0.066076629,0.464279393,0.395370708
,,,,,,5.48,-0.329494382,0.065363767,0.465572961,0.397533672
,,,,,,5.49,-0.331117068,0.06463885,0.46627755,0.398697309
,,,,,,5.5,-0.332735634,0.063901989,0.464525679,0.398630657
,,,,,,5.51,-0.332353503,0.063153296,0.46408612,0.398219811
,,,,,,5.52,-0.333782664,0.062392881,0.464205566,0.398994115
,,,,,,5.53,-0.334533181,0.061620855,0.463817089,0.399175135
,,,,,,5.54,-0.33796875,0.060837328,0.463944177,0.400956464
,,,,,,5.55,-0.339964135,0.060042411,0.463904225,0.40193418
,,,,,,5.56,-0.341877685,0.059236214,0.462936958,0.402407321
,,,,,,5.57,-0.342474397,0.058418849,0.464120666,0.403297532
,,,,,,5.58,-0.34260513,0.057590426,0.462991771,0.40279845
,,,,,,5.59,-0.343028895,0.056751056,0.463418085,0.40322349
,,,,,,5.6,-0.342719929,0.05590085,0.462550879,0.402635404
,,,,,,5.61,-0.343165107,0.055039918,0.461301138,0.402233123
,,,,,,5.62,-0.343613368,0.05416837,0.46115134,0.402382354
,,,,,,5.63,-0.344011948,0.053286318,0.459212602,0.401612275
,,,,,,5.64,-0.345604927,0.052393873,0.456780192,0.401192559
,,,,,,5.65,-0.347353689,0.051491144,0.455326644,0.401340166
,,,,,,5.66,-0.349463071,0.050578243,0.453640346,0.401551709
,,,,,,5.67,-0.352079679,0.04965528,0.453764305,0.402921992
,,,,,,5.68,-0.353654874,0.048722366,0.455634485,0.40464468
,,,,,,5.69,-0.355743876,0.047779612,0.456710778,0.406227327
,,,,,,5.7,-0.357821275,0.046827129,0.454001883,0.405911579
,,,,,,5.71,-0.358733845,0.045865026,0.449394151,0.404063998
,,,,,,5.72,-0.361240137,0.044893415,0.44827975,0.404759944
,,,,,,5.73,-0.364787809,0.043912407,0.448068415,0.406428112
,,,,,,5.74,-0.365981442,0.042922112,0.446234565,0.406108004
,,,,,,5.75,-0.36639663,0.04192264,0.443794252,0.405095441
,,,,,,5.76,-0.367609324,0.040914104,0.442999153,0.405304238
,,,,,,5.77,-0.368685266,0.039896612,0.442156512,0.405420889
,,,,,,5.78,-0.370191378,0.038870276,0.440253916,0.405222647
,,,,,,5.79,-0.372554021,0.037835207,0.437407857,0.404980939
,,,,,,5.8,-0.373304888,0.036791516,0.43658903,0.404946959
,,,,,,5.81,-0.374598451,0.035739312,0.43397484,0.404286645
,,,,,,5.82,-0.374761614,0.034678707,0.430747938,0.402754776
,,,,,,5.83,-0.376013608,0.033609811,0.42799006,0.402001834
,,,,,,5.84,-0.377918284,0.032532735,0.426926979,0.402422631
,,,,,,5.85,-0.379794627,0.03144759,0.427126779,0.403460703
,,,,,,5.86,-0.381495152,0.030354487,0.425832255,0.403663704
,,,,,,5.87,-0.383461564,0.029253536,0.427563055,0.40551231
,,,,,,5.88,-0.384012403,0.028144847,0.428577273,0.406294838
,,,,,,5.89,-0.385202918,0.027028532,0.429542086,0.407372502
,,,,,,5.9,-0.387394806,0.025904701,0.427377057,0.407385931
,,,,,,5.91,-0.388906118,0.024773466,0.427458853,0.408182485
,,,,,,5.92,-0.39087017,0.023634935,0.429842082,0.410356126
,,,,,,5.93,-0.392869336,0.022489221,0.431248127,0.412058732
,,,,,,5.94,-0.394259323,0.021336434,0.431546821,0.412903072
,,,,,,5.95,-0.395367666,0.020176685,0.430683338,0.413025502
,,,,,,5.96,-0.396329978,0.019010084,0.42868028,0.412505129
,,,,,,5.97,-0.396775677,0.017836742,0.425841312,0.411308495
,,,,,,5.98,-0.398718856,0.01665677,0.424307372,0.411513114
,,,,,,5.99,-0.399672211,0.015470278,0.422611046,0.411141629
,,,,,,6,-0.400650479,0.014277377,0.418043665,0.409347072
,,,,,,6.01,-0.401929703,0.013078178,0.415670453,0.408800078
,,,,,,6.02,-0.402396335,0.011872791,0.414371598,0.408383967
,,,,,,6.03,-0.403688186,0.010661328,0.412360269,0.408024228
,,,,,,6.04,-0.40475391,0.009443899,0.410439436,0.407596673
,,,,,,6.05,-0.405729169,0.008220614,0.410409397,0.408069283
,,,,,,6.06,-0.40669045,0.006991584,0.41011877,0.40840461
,,,,,,6.07,-0.407637631,0.005756921,0.407916969,0.4077773
,,,,,,6.08,-0.408372391,0.004516734,0.405606064,0.406989227
,,,,,,6.09,-0.409509694,0.003271134,0.404059055,0.406784375
,,,,,,6.1,-0.41039336,0.002020232,0.400617746,0.405505553
,,,,,,6.11,-0.411726476,0.000764139,0.39978513,0.405755803
,,,,,,6.12,-0.412564681,-0.000497034,0.397936796,0.405250739
,,,,,,6.13,-0.413619012,-0.001763178,0.398351096,0.405985054
,,,,,,6.14,-0.413651015,-0.00303418,0.395962177,0.404806596
,,,,,,6.15,-0.415096282,-0.004309932,0.392451879,0.403774081
,,,,,,6.16,-0.41612497,-0.005590321,0.392475508,0.404300239
,,,,,,6.17,-0.416910196,-0.006875237,0.389544625,0.40322741
,,,,,,6.18,-0.418112954,-0.00816457,0.386306139,0.402209547
,,,,,,6.19,-0.419770061,-0.009458208,0.388728355,0.404249208
,,,,,,6.2,-0.421188675,-0.010756042,0.389708387,0.405448531
,,,,,,6.21,-0.423103883,-0.01205796,0.387510733,0.405307308
,,,,,,6.22,-0.42502823,-0.013363851,0.387467086,0.406247658
