ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
5001.0,52.3667,4.9,1705.0,-160.36029105631295,2.811686636136521
5001.0,52.3667,4.9,1715.0,-154.84773516322363,2.806705880185835
5001.0,52.3667,4.9,1725.0,-145.48748997099884,2.8067058773377087
5001.0,52.3667,4.9,1735.0,-136.2840319264552,2.8067058782778664
5001.0,52.3667,4.9,1745.0,-153.44089465221444,2.829168242377532
5001.0,52.3667,4.9,1755.0,-320.00644706881894,110.95488224873664
5001.0,52.3667,4.9,1765.0,-241.73086507812954,38.49677409523395
5001.0,52.3667,4.9,1775.0,-133.7217849014859,2.8067058783884735
5001.0,52.3667,4.9,1785.0,-163.3569140875406,2.806705878024393
5001.0,52.3667,4.9,1795.0,-137.78225260457705,2.806705878250215
5001.0,52.3667,4.9,1805.0,-138.0640587231133,2.806705881231991
5001.0,52.3667,4.9,1815.0,-143.617266880604,2.8067058791419828
5001.0,52.3667,4.9,1825.0,-122.41571803556342,2.806705881059168
5001.0,52.3667,4.9,1835.0,-104.70319349722187,2.806705879761842
5001.0,52.3667,4.9,1845.0,-95.50904611211689,2.806705879466891
5001.0,52.3667,4.9,1855.0,-104.66877816062373,2.8067058784460817
5001.0,52.3667,4.9,1865.0,-108.79265500067068,2.8067348482571703
5001.0,52.3667,4.9,1875.0,-97.39686456311021,4.794172532543844
5001.0,52.3667,4.9,1885.0,-68.39926654863913,2.806705880485395
5001.0,52.3667,4.9,1895.0,-70.84679761295938,2.8067058791627217
5001.0,52.3667,4.9,1905.0,-48.26999406774243,2.8067058825477518
5001.0,52.3667,4.9,1915.0,-18.466501278998535,2.806705880854085
5002.0,59.98,29.77,1775.0,-84.36800265953453,132.73658016328068
5002.0,59.98,29.77,1785.0,26.75018160586021,289.3049831932621
5002.0,59.98,29.77,1795.0,121.50054563473694,321.4296653309759
5002.0,59.98,29.77,1805.0,-8.77562787994194,75.26878288497491
5002.0,59.98,29.77,1815.0,-165.99309898213303,10.209785874649072
5002.0,59.98,29.77,1825.0,324.35847759295024,146.28136724848108
5002.0,59.98,29.77,1835.0,126.54469731634292,40.437929435207636
5002.0,59.98,29.77,1845.0,-66.65483138472706,2.809102435962703
5002.0,59.98,29.77,1855.0,-67.03064385100002,2.809102437415482
5002.0,59.98,29.77,1865.0,-45.50837370164456,2.809102438080859
5002.0,59.98,29.77,1875.0,-74.27126207429754,2.809102435324954
5002.0,59.98,29.77,1885.0,-96.96821012904759,2.809102437624995
5002.0,59.98,29.77,1895.0,-61.30609064452018,2.809102434866788
5002.0,59.98,29.77,1905.0,-30.944632013780847,2.809102436496847
5002.0,59.98,29.77,1915.0,-57.881909017375015,2.8091024362458916
5002.0,59.98,29.77,1925.0,-17.398517740422903,2.8091024341760846
5002.0,59.98,29.77,1935.0,-44.10143377586135,24.94035870657759
5002.0,59.98,29.77,1945.0,127.9494898104818,70.4037736239878
5002.0,59.98,29.77,1955.0,-34.050469727637086,2.809178171607142
5002.0,59.98,29.77,1965.0,-33.38754264971692,2.809102434965789
5002.0,59.98,29.77,1975.0,-47.28392563715207,2.8091024356979335
5002.0,59.98,29.77,1985.0,47.822717360097414,2.809102445006307
5003.0,59.32,18.08,1775.0,89.87098817181263,1.1196809937115864
5003.0,59.32,18.08,1785.0,85.07883932000404,0.7834599241266033
5003.0,59.32,18.08,1795.0,80.2708239812154,0.6285427786885881
5003.0,59.32,18.08,1805.0,75.39080688884314,0.5523729915175388
5003.0,59.32,18.08,1815.0,70.48668558460383,0.5069801879375943
5003.0,59.32,18.08,1825.0,65.7300661065528,0.48584487345773625
5003.0,59.32,18.08,1835.0,61.097630727594506,0.47869663395957435
5003.0,59.32,18.08,1845.0,56.535182343331314,0.4768544171378871
5003.0,59.32,18.08,1855.0,52.119721741505195,0.47638175450480513
5003.0,59.32,18.08,1865.0,47.76538772948134,0.4761817254001088
5003.0,59.32,18.08,1875.0,43.40432785757353,0.4760725288098443
5003.0,59.32,18.08,1885.0,39.366120162806304,0.47602571668313093
5003.0,59.32,18.08,1895.0,35.82603699832517,0.4760148067568129
5003.0,59.32,18.08,1905.0,32.414393183253615,0.4760139677849992
5003.0,59.32,18.08,1915.0,28.76969074131302,0.47602258743508546
5003.0,59.32,18.08,1925.0,24.802407138190596,0.47616362089462894
5003.0,59.32,18.08,1935.0,20.613366165463606,0.4768944676130514
5003.0,59.32,18.08,1945.0,16.485162280437663,0.4790379797061833
5003.0,59.32,18.08,1955.0,12.469348562878519,0.4827471432043205
5003.0,59.32,18.08,1965.0,8.559548659232055,0.4855621104969322
5003.0,59.32,18.08,1975.0,4.919535755452362,0.4877803722584902
5003.0,59.32,18.08,1985.0,1.581931594617595,0.5296140176790485
5003.0,59.32,18.08,1995.0,-1.6664509418528013,0.7353623470249978
